OUTCOME
TX
1
0
Tx Vivant
X
Dcd
2
3
3a
1*
MELD-IH 29
4
3.5
MELD-IH 24
MELD-IH 23
MELD-IH 26
MELD-IH 25
MELD-IH 22
MELD-IH 21
MELD-IH 20
MELD-IH 19
MELD-IH 16
MELD-IH 18
MELD-IH 13
MELD-IH 14
MELD-IH 15
MELD-IH 12
MELD-IH 11
MELD-IH 35
MELD-IH 31
MELD-IH 28
MELD-IH 30
MELD-IH 17
MELD-DER-IH 28
MELD-DER 28
MELD-DER 27
MELD-DER 26
MELD-DER 25
MELD-DER 24
MELD-DER 23
MELD-DER 22
MELD-DER 21
MELD-DER 20
MELD-DER 19
MELD-DER 18
MELD-IH 27
4S
MELD-DER 29
MELD-IH 33
Urgence
MELD-IH 39
MELD-IH 38
MELD-IH 37
MELD-IH 36
MELD-DER-IH 22
MELD-IH 40
MELD-DER-IH 27
MELD-DER-IH 26
MELD-DER-IH 25
MELD-DER-IH 24
MELD-DER-IH 23
MELD-DER-IH 21
MELD-DER-IH 20
MELD-IH 32
MELD-IH 34
